"kommunenummer_2017";"kommunenavn_2017";"kommunenummer_2018";"kommunenavn_2018";"endringsmerknad_17_18"
"0101";"Halden";"0101";"Halden";"uendret fra 2017 til 2018"
"0104";"Moss";"0104";"Moss";"uendret fra 2017 til 2018"
"0105";"Sarpsborg";"0105";"Sarpsborg";"uendret fra 2017 til 2018"
"0106";"Fredrikstad";"0106";"Fredrikstad";"uendret fra 2017 til 2018"
"0111";"Hvaler";"0111";"Hvaler";"uendret fra 2017 til 2018"
"0118";"Aremark";"0118";"Aremark";"uendret fra 2017 til 2018"
"0119";"Marker";"0119";"Marker";"uendret fra 2017 til 2018"
"0121";"Rømskog";"0121";"Rømskog";"uendret fra 2017 til 2018"
"0122";"Trøgstad";"0122";"Trøgstad";"uendret fra 2017 til 2018"
"0123";"Spydeberg";"0123";"Spydeberg";"uendret fra 2017 til 2018"
"0124";"Askim";"0124";"Askim";"uendret fra 2017 til 2018"
"0125";"Eidsberg";"0125";"Eidsberg";"uendret fra 2017 til 2018"
"0127";"Skiptvet";"0127";"Skiptvet";"uendret fra 2017 til 2018"
"0128";"Rakkestad";"0128";"Rakkestad";"uendret fra 2017 til 2018"
"0135";"Råde";"0135";"Råde";"uendret fra 2017 til 2018"
"0136";"Rygge";"0136";"Rygge";"uendret fra 2017 til 2018"
"0137";"Våler";"0137";"Våler";"uendret fra 2017 til 2018"
"0138";"Hobøl";"0138";"Hobøl";"uendret fra 2017 til 2018"
"0211";"Vestby";"0211";"Vestby";"uendret fra 2017 til 2018"
"0213";"Ski";"0213";"Ski";"uendret fra 2017 til 2018"
"0214";"Ås";"0214";"Ås";"uendret fra 2017 til 2018"
"0215";"Frogn";"0215";"Frogn";"uendret fra 2017 til 2018"
"0216";"Nesodden";"0216";"Nesodden";"uendret fra 2017 til 2018"
"0217";"Oppegård";"0217";"Oppegård";"uendret fra 2017 til 2018"
"0219";"Bærum";"0219";"Bærum";"uendret fra 2017 til 2018"
"0220";"Asker";"0220";"Asker";"uendret fra 2017 til 2018"
"0221";"Aurskog-Høland";"0221";"Aurskog-Høland";"uendret fra 2017 til 2018"
"0226";"Sørum";"0226";"Sørum";"uendret fra 2017 til 2018"
"0227";"Fet";"0227";"Fet";"uendret fra 2017 til 2018"
"0228";"Rælingen";"0228";"Rælingen";"uendret fra 2017 til 2018"
"0229";"Enebakk";"0229";"Enebakk";"uendret fra 2017 til 2018"
"0230";"Lørenskog";"0230";"Lørenskog";"uendret fra 2017 til 2018"
"0231";"Skedsmo";"0231";"Skedsmo";"uendret fra 2017 til 2018"
"0233";"Nittedal";"0233";"Nittedal";"uendret fra 2017 til 2018"
"0234";"Gjerdrum";"0234";"Gjerdrum";"uendret fra 2017 til 2018"
"0235";"Ullensaker";"0235";"Ullensaker";"uendret fra 2017 til 2018"
"0236";"Nes";"0236";"Nes";"uendret fra 2017 til 2018"
"0237";"Eidsvoll";"0237";"Eidsvoll";"uendret fra 2017 til 2018"
"0238";"Nannestad";"0238";"Nannestad";"uendret fra 2017 til 2018"
"0239";"Hurdal";"0239";"Hurdal";"uendret fra 2017 til 2018"
"0301";"Oslo";"0301";"Oslo";"uendret fra 2017 til 2018"
"0402";"Kongsvinger";"0402";"Kongsvinger";"uendret fra 2017 til 2018"
"0403";"Hamar";"0403";"Hamar";"uendret fra 2017 til 2018"
"0412";"Ringsaker";"0412";"Ringsaker";"uendret fra 2017 til 2018"
"0415";"Løten";"0415";"Løten";"uendret fra 2017 til 2018"
"0417";"Stange";"0417";"Stange";"uendret fra 2017 til 2018"
"0418";"Nord-Odal";"0418";"Nord-Odal";"uendret fra 2017 til 2018"
"0419";"Sør-Odal";"0419";"Sør-Odal";"uendret fra 2017 til 2018"
"0420";"Eidskog";"0420";"Eidskog";"uendret fra 2017 til 2018"
"0423";"Grue";"0423";"Grue";"uendret fra 2017 til 2018"
"0425";"Åsnes";"0425";"Åsnes";"uendret fra 2017 til 2018"
"0426";"Våler";"0426";"Våler";"uendret fra 2017 til 2018"
"0427";"Elverum";"0427";"Elverum";"uendret fra 2017 til 2018"
"0428";"Trysil";"0428";"Trysil";"uendret fra 2017 til 2018"
"0429";"Åmot";"0429";"Åmot";"uendret fra 2017 til 2018"
"0430";"Stor-Elvdal";"0430";"Stor-Elvdal";"uendret fra 2017 til 2018"
"0432";"Rendalen";"0432";"Rendalen";"uendret fra 2017 til 2018"
"0434";"Engerdal";"0434";"Engerdal";"uendret fra 2017 til 2018"
"0436";"Tolga";"0436";"Tolga";"uendret fra 2017 til 2018"
"0437";"Tynset";"0437";"Tynset";"uendret fra 2017 til 2018"
"0438";"Alvdal";"0438";"Alvdal";"uendret fra 2017 til 2018"
